Finestra,Simbolo,DataOra,Close
LEGALE,EURUSD,2025.07.07 11:00,1.17242
LEGALE,EURUSD,2025.07.07 12:00,1.17340
LEGALE,EURUSD,2025.07.07 13:00,1.17277
LEGALE,EURUSD,2025.07.07 14:00,1.17296
LEGALE,EURUSD,2025.07.07 15:00,1.17225
LEGALE,EURUSD,2025.07.07 16:00,1.17352
LEGALE,EURUSD,2025.07.07 17:00,1.17389
LEGALE,EURUSD,2025.07.07 18:00,1.17329
LEGALE,EURUSD,2025.07.07 19:00,1.16943
LEGALE,EURUSD,2025.07.07 20:00,1.17067
LEGALE,EURUSD,2025.07.07 21:00,1.17190
LEGALE,EURUSD,2025.07.07 22:00,1.17195
LEGALE,EURUSD,2025.07.07 23:00,1.17083
LEGALE,EURUSD,2025.07.08 00:00,1.17076
LEGALE,EURUSD,2025.07.08 01:00,1.17355
LEGALE,EURUSD,2025.07.08 02:00,1.17366
LEGALE,EURUSD,2025.07.08 03:00,1.17434
LEGALE,EURUSD,2025.07.08 04:00,1.17382
LEGALE,EURUSD,2025.07.08 05:00,1.17385
LEGALE,EURUSD,2025.07.08 06:00,1.17467
LEGALE,EURUSD,2025.07.08 07:00,1.17415
LEGALE,EURUSD,2025.07.08 08:00,1.17347
LEGALE,EURUSD,2025.07.08 09:00,1.17418
LEGALE,EURUSD,2025.07.08 10:00,1.17601
LEGALE,EURUSD,2025.07.08 11:00,1.17489
LEGALE,EURUSD,2025.07.08 12:00,1.17422
LEGALE,EURUSD,2025.07.08 13:00,1.17282
LEGALE,EURUSD,2025.07.08 14:00,1.17217
LEGALE,EURUSD,2025.07.08 15:00,1.17212
LEGALE,EURUSD,2025.07.08 16:00,1.17053
LEGALE,EURUSD,2025.07.08 17:00,1.16922
LEGALE,EURUSD,2025.07.08 18:00,1.17067
LEGALE,EURUSD,2025.07.08 19:00,1.17088
LEGALE,EURUSD,2025.07.08 20:00,1.17244
LEGALE,EURUSD,2025.07.08 21:00,1.17253
LEGALE,EURUSD,2025.07.08 22:00,1.17245
LEGALE,EURUSD,2025.07.08 23:00,1.17251
LEGALE,EURUSD,2025.07.09 00:00,1.17194
LEGALE,EURUSD,2025.07.09 01:00,1.17287
LEGALE,EURUSD,2025.07.09 02:00,1.17234
LEGALE,EURUSD,2025.07.09 03:00,1.17246
LEGALE,EURUSD,2025.07.09 04:00,1.17205
LEGALE,EURUSD,2025.07.09 05:00,1.17114
LEGALE,EURUSD,2025.07.09 06:00,1.17039
LEGALE,EURUSD,2025.07.09 07:00,1.17126
LEGALE,EURUSD,2025.07.09 08:00,1.17167
LEGALE,EURUSD,2025.07.09 09:00,1.17260
LEGALE,EURUSD,2025.07.09 10:00,1.17076
LEGALE,EURUSD,2025.07.09 11:00,1.17134
LEGALE,EURUSD,2025.07.09 12:00,1.17134
LEGALE,EURUSD,2025.07.09 13:00,1.17020
LEGALE,EURUSD,2025.07.09 14:00,1.16913
LEGALE,EURUSD,2025.07.09 15:00,1.17154
LEGALE,EURUSD,2025.07.09 16:00,1.17035
LEGALE,EURUSD,2025.07.09 17:00,1.17149
LEGALE,EURUSD,2025.07.09 18:00,1.17062
LEGALE,EURUSD,2025.07.09 19:00,1.17052
LEGALE,EURUSD,2025.07.09 20:00,1.17095
LEGALE,EURUSD,2025.07.09 21:00,1.17134
LEGALE,EURUSD,2025.07.09 22:00,1.17190
LEGALE,EURUSD,2025.07.09 23:00,1.17225
LEGALE,EURUSD,2025.07.10 00:00,1.17217
LEGALE,EURUSD,2025.07.10 01:00,1.17246
LEGALE,EURUSD,2025.07.10 02:00,1.17381
LEGALE,EURUSD,2025.07.10 03:00,1.17438
LEGALE,EURUSD,2025.07.10 04:00,1.17408
LEGALE,EURUSD,2025.07.10 05:00,1.17391
LEGALE,EURUSD,2025.07.10 06:00,1.17341
LEGALE,EURUSD,2025.07.10 07:00,1.17351
LEGALE,EURUSD,2025.07.10 08:00,1.17391
LEGALE,EURUSD,2025.07.10 09:00,1.17329
LEGALE,EURUSD,2025.07.10 10:00,1.17333
LEGALE,EURUSD,2025.07.10 11:00,1.17278
LEGALE,EURUSD,2025.07.10 12:00,1.17310
LEGALE,EURUSD,2025.07.10 13:00,1.17286
LEGALE,EURUSD,2025.07.10 14:00,1.17117
LEGALE,EURUSD,2025.07.10 15:00,1.17065
LEGALE,EURUSD,2025.07.10 16:00,1.16927
LEGALE,EURUSD,2025.07.10 17:00,1.16799
LEGALE,EURUSD,2025.07.10 18:00,1.16874
LEGALE,EURUSD,2025.07.10 19:00,1.16855
LEGALE,EURUSD,2025.07.10 20:00,1.16892
LEGALE,EURUSD,2025.07.10 21:00,1.16923
LEGALE,EURUSD,2025.07.10 22:00,1.16957
LEGALE,EURUSD,2025.07.10 23:00,1.17004
LEGALE,EURUSD,2025.07.11 00:00,1.17023
LEGALE,EURUSD,2025.07.11 01:00,1.17058
LEGALE,EURUSD,2025.07.11 02:00,1.17018
LEGALE,EURUSD,2025.07.11 03:00,1.16749
LEGALE,EURUSD,2025.07.11 04:00,1.16753
LEGALE,EURUSD,2025.07.11 05:00,1.16711
LEGALE,EURUSD,2025.07.11 06:00,1.16818
LEGALE,EURUSD,2025.07.11 07:00,1.16765
LEGALE,EURUSD,2025.07.11 08:00,1.16782
LEGALE,EURUSD,2025.07.11 09:00,1.16749
LEGALE,EURUSD,2025.07.11 10:00,1.16889
LEGALE,EURUSD,2025.07.11 11:00,1.16824
