idx;dir;risultato_R;H4trend;ampiezza_pt;MAE_pt;MFE_pt;MAE_R;MFE_R;barre
207;SHORT;0.61;UP;6620;1190;6580;0.17;0.92;74
208;LONG;0.95;DOWN;3630;890;5490;0.22;1.33;88
209;SHORT;2.00;UP;2330;0;5930;0.00;2.10;53
210;LONG;2.00;UP;1810;590;4750;0.26;2.06;23
211;LONG;-0.52;UP;2250;1590;4660;0.58;1.69;98
212;LONG;-1.00;UP;3630;4540;1360;1.10;0.33;20
213;SHORT;2.00;DOWN;3200;1370;7950;0.37;2.15;62
214;LONG;1.36;DOWN;2220;40;3840;0.01;1.41;96
215;SHORT;0.89;DOWN;2260;990;3930;0.36;1.42;95
216;LONG;-1.00;DOWN;1640;2240;160;1.05;0.07;7
217;LONG;2.00;DOWN;1970;0;5450;0.00;2.21;14
218;SHORT;-1.00;UP;1730;5280;1350;2.37;0.61;80
219;SHORT;1.78;UP;2330;70;5380;0.02;1.90;98
220;SHORT;-1.00;UP;1660;2190;2070;1.01;0.96;40
221;LONG;-1.00;UP;1050;1600;0;1.03;0.00;2
222;LONG;2.00;UP;940;590;2940;0.41;2.04;82
223;SHORT;-1.00;UP;2100;2610;200;1.00;0.08;12
224;SHORT;0.44;UP;2990;190;4220;0.05;1.21;99
225;LONG;2.00;UP;1740;0;4480;0.00;2.00;20
226;LONG;0.35;UP;2810;880;4260;0.27;1.29;91
227;SHORT;2.00;UP;1490;1300;4160;0.65;2.09;54
228;LONG;2.00;UP;1840;370;5070;0.16;2.17;76
229;SHORT;2.00;UP;2450;2190;7330;0.74;2.48;92
230;SHORT;-1.00;DOWN;5570;7320;1120;1.21;0.18;62
231;LONG;-1.00;DOWN;3250;4530;490;1.21;0.13;11
232;LONG;-1.00;DOWN;3120;3860;3170;1.07;0.88;34
233;SHORT;0.66;DOWN;3430;2260;3060;0.58;0.78;95
234;LONG;-1.00;DOWN;1100;1810;1030;1.13;0.64;23
235;SHORT;0.75;DOWN;4450;3210;4480;0.65;0.91;93
236;SHORT;-1.00;DOWN;2510;3160;1270;1.05;0.42;12
237;LONG;-0.26;DOWN;3120;3500;1670;0.97;0.46;94
238;LONG;-1.00;DOWN;4730;6240;150;1.19;0.03;79
239;SHORT;-1.00;DOWN;1800;2340;1110;1.02;0.48;53
240;LONG;-1.00;UP;1620;2300;2740;1.08;1.29;16
241;LONG;-1.00;UP;3450;4170;2780;1.06;0.70;20
242;SHORT;-1.00;UP;1840;2730;0;1.17;0.00;3
