simbolo,ora_server,campioni,giornate,scartati,overflow,mediana_punti,p95_punti,p99_punti,media_punti,max_punti,mediana_unita,p95_unita,max_unita,unita,punti_per_unita,da_symbol_spread
XAUUSD,8,3596,5,0,0,21,23,23,20.13,23,0.210,0.230,0.230,punti indice,100,0
XAUUSD,9,3596,5,0,0,20,23,23,19.52,23,0.200,0.230,0.230,punti indice,100,0
XAUUSD,10,3580,5,0,0,20,22,23,19.44,23,0.200,0.220,0.230,punti indice,100,0
XAUUSD,11,3562,5,0,0,21,23,23,19.92,23,0.210,0.230,0.230,punti indice,100,0
XAUUSD,12,3567,5,0,0,20,23,24,19.81,24,0.200,0.230,0.240,punti indice,100,0
XAUUSD,13,3564,5,0,0,21,23,24,20.94,288,0.210,0.230,2.880,punti indice,100,0
XAUUSD,14,3578,5,0,0,21,22,23,19.98,23,0.210,0.220,0.230,punti indice,100,0
XAUUSD,15,3597,5,0,0,18,22,23,18.76,24,0.180,0.220,0.240,punti indice,100,0
XAUUSD,16,3600,5,0,0,18,22,22,18.35,23,0.180,0.220,0.230,punti indice,100,0
XAUUSD,17,3600,5,0,0,20,23,23,19.59,23,0.200,0.230,0.230,punti indice,100,0
XAUUSD,18,3600,5,0,0,20,23,23,19.47,23,0.200,0.230,0.230,punti indice,100,0
XAUUSD,19,3258,5,339,0,21,23,23,19.96,23,0.210,0.230,0.230,punti indice,100,0
XAUUSD,20,2880,4,714,0,20,23,24,20.02,24,0.200,0.230,0.240,punti indice,100,0
XAUUSD,21,2622,4,751,0,22,29,29,21.91,148,0.220,0.290,1.480,punti indice,100,0
XAUUSD,22,0,0,2987,0,n/d,n/d,n/d,n/d,0,n/d,n/d,0.000,punti indice,100,0
XAUUSD,23,3239,5,360,0,27,28,28,26.69,28,0.270,0.280,0.280,punti indice,100,0
