data;ampiezza_notte_pts;ora_massimo;ora_minimo;ordine;escursione_ora_2_pts;quota_su_notte_%;sessione_rompe;punti_oltre
2025.10.01;1862;6;2;MIN poi MAX;1244;66.8;MAX;2554
2025.10.02;2573;0;4;MAX poi MIN;1527;59.3;MAX;2790
2025.10.05;6090;6;23;MIN poi MAX;1849;30.4;MAX;2507
2025.10.06;2146;1;2;MAX poi MIN;783;36.5;MIN;1513
2025.10.07;5250;6;2;MIN poi MAX;1628;31.0;MAX;1936
2025.10.08;4238;6;0;MIN poi MAX;2818;66.5;MAX;1420
2025.10.09;4760;1;5;MAX poi MIN;2246;47.2;MAX;2847
2025.10.12;7063;6;23;MIN poi MAX;1932;27.4;MAX;3907
2025.10.13;7302;6;23;MIN poi MAX;2680;36.7;MIN;882
2025.10.14;5308;6;23;MIN poi MAX;2452;46.2;MAX;2449
2025.10.15;4248;4;23;MIN poi MAX;2241;52.8;MAX;4989
2025.10.16;10099;0;2;MAX poi MIN;8390;83.1;MIN;6391
2025.10.19;5225;3;1;MIN poi MAX;3946;75.5;MAX;8446
2025.10.20;5792;23;6;MAX poi MIN;3949;68.2;MIN;23670
2025.10.21;14327;6;1;MIN poi MAX;5639;39.4;MAX;933
2025.10.22;4504;23;1;MAX poi MIN;2103;46.7;MAX;4372
2025.10.23;4156;2;5;MAX poi MIN;3228;77.7;MIN;5896
2025.10.26;5548;23;5;MAX poi MIN;2244;40.4;MIN;8215
2025.10.27;6044;2;6;MAX poi MIN;1513;25.0;MIN;7262
2025.10.28;6477;1;23;MIN poi MAX;1359;21.0;MAX;4770
2025.10.29;6716;5;4;MIN poi MAX;2141;31.9;MAX;3221
2025.10.30;5711;23;5;MAX poi MIN;2614;45.8;MIN;1688
2025.11.03;5618;6;1;MIN poi MAX;3639;64.8;MAX;1219
2025.11.03;3335;22;6;MAX poi MIN;1507;45.2;MIN;4393
2025.11.04;4936;6;1;MIN poi MAX;1493;30.2;MAX;846
2025.11.05;2643;6;2;MIN poi MAX;1294;49.0;MAX;2873
2025.11.06;2689;3;22;MIN poi MAX;1559;58.0;MAX;1112
2025.11.10;6558;6;0;MIN poi MAX;3418;52.1;MAX;3605
2025.11.10;3850;5;22;MIN poi MAX;1320;34.3;MIN;1329
2025.11.11;4662;1;6;MAX poi MIN;1089;23.4;MAX;4401
2025.11.12;3954;5;2;MIN poi MAX;2950;74.6;MAX;2566
2025.11.13;5006;4;22;MIN poi MAX;2005;40.1;MIN;12891
2025.11.17;5703;0;6;MAX poi MIN;1925;33.8;nessuno;0
2025.11.17;5062;0;5;MAX poi MIN;2255;44.5;MIN;654
2025.11.18;4178;6;3;MIN poi MAX;1397;33.4;MAX;3533
2025.11.19;6895;1;3;MAX poi MIN;2793;40.5;MIN;222
2025.11.20;4876;0;6;MAX poi MIN;1394;28.6;MIN;1760
2025.11.24;3770;0;6;MAX poi MIN;3023;80.2;MAX;1781
2025.11.24;3304;3;2;MIN poi MAX;1648;49.9;MIN;1313
