file;expert;ora_piena;data;ora;simbolo;lato;uscita;livello_richiesto;prezzo_eseguito;volume;profitto;scarto_sfav
D30EUR_00_long_report_singola.htm;ABTG_AtrExhaustVol;2025.01.06 09:19:09;2025.01.06;9;D30EUR;long;sl;19944.0;19942.8;21.6;-898.56;1.2000000000007276
D30EUR_00_long_report_singola.htm;ABTG_AtrExhaustVol;2025.01.06 09:51:12;2025.01.06;9;D30EUR;long;tp;19978.4;19978.4;61.9;1733.2;0.0
D30EUR_00_long_report_singola.htm;ABTG_AtrExhaustVol;2025.01.06 12:14:11;2025.01.06;12;D30EUR;long;tp;20045.7;20046.5;26.0;1783.6;-0.7999999999992724
D30EUR_00_long_report_singola.htm;ABTG_AtrExhaustVol;2025.01.07 08:49:31;2025.01.07;8;D30EUR;long;tp;20177.8;20178.3;38.2;1822.14;-0.5
D30EUR_00_long_report_singola.htm;ABTG_AtrExhaustVol;2025.01.08 09:05:53;2025.01.08;9;D30EUR;long;tp;20341.7;20341.9;35.9;1845.26;-0.2000000000007276
D30EUR_00_long_report_singola.htm;ABTG_AtrExhaustVol;2025.01.08 11:57:34;2025.01.08;11;D30EUR;long;tp;20464.0;20464.1;15.9;1877.79;-0.09999999999854481
D30EUR_00_long_report_singola.htm;ABTG_AtrExhaustVol;2025.01.08 14:21:25;2025.01.08;14;D30EUR;long;sl;20264.9;20264.2;29.2;-975.28;0.7000000000007276
D30EUR_00_long_report_singola.htm;ABTG_AtrExhaustVol;2025.01.09 08:09:52;2025.01.09;8;D30EUR;long;sl;20314.3;20314.1;100.0;-820.0;0.2000000000007276
D30EUR_00_long_report_singola.htm;ABTG_AtrExhaustVol;2025.01.09 08:16:47;2025.01.09;8;D30EUR;long;sl;20312.1;20312.0;87.8;-948.24;0.09999999999854481
D30EUR_00_long_report_singola.htm;ABTG_AtrExhaustVol;2025.01.09 14:15:01;2025.01.09;14;D30EUR;long;tp;20346.1;20346.4;28.5;1866.75;-0.3000000000029104
D30EUR_00_long_report_singola.htm;ABTG_AtrExhaustVol;2025.01.10 00:16:03;2025.01.10;0;D30EUR;long;sl;20318.9;20318.8;62.8;-954.56;0.10000000000218279
D30EUR_00_long_report_singola.htm;ABTG_AtrExhaustVol;2025.01.10 01:02:19;2025.01.10;1;D30EUR;long;sl;20304.0;20303.8;65.2;-951.92;0.2000000000007276
D30EUR_00_long_report_singola.htm;ABTG_AtrExhaustVol;2025.01.10 16:02:42;2025.01.10;16;D30EUR;long;sl;20261.2;20260.4;19.2;-942.72;0.7999999999992724
